Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
34.095,0.0,M, ,0.006000000000000227,0.0379999999999967,0.21000000000000085,0.16499999999999915,0.0,-1.0,0.0,-6.060606060606092
34.305,0.0,M, ,0.15700000000000358,0.005000000000002558,0.15500000000000114,0.21000000000000085,-1.0,0.0,-6.451612903225759,0.0
34.46,-1.0,L, ,0.0020000000000024443,0.1600000000000037,0.13000000000000256,0.15500000000000114,1.0,-1.0,7.692307692307541,-6.451612903225759
34.59,0.0,M-M, ,0.5799999999999983,0.1280000000000001,0.5949999999999989,0.13000000000000256,0.0,1.0,0.0,7.692307692307541
35.185,0.0,M, ,0.17599999999999483,0.015000000000000568,0.17499999999999716,0.5949999999999989,1.0,0.0,5.714285714285807,0.0
35.36,1.0,H, ,0.0009999999999976694,0.18999999999999773,0.07500000000000284,0.17499999999999716,-1.0,1.0,-13.333333333332828,5.714285714285807
35.435,0.0,M, ,0.12399999999999523,0.01300000000000523,0.23499999999999943,0.07500000000000284,-1.0,-1.0,-4.255319148936181,-13.333333333332828
35.67,-1.0,L, ,0.04299999999999926,0.01300000000000523,0.04999999999999716,0.23499999999999943,1.0,-1.0,20.000000000001137,-4.255319148936181
35.72,0.0,M, ,0.13799999999999812,0.006999999999997897,0.20000000000000284,0.04999999999999716,-0.5,1.0,-2.4999999999999645,20.000000000001137
35.92,-0.5,M-L, ,0.3009999999999948,0.012000000000000455,0.26500000000000057,0.20000000000000284,0.5,-0.5,1.8867924528301847,-2.4999999999999645
36.185,0.0,M, ,0.03599999999999426,0.277000000000001,0.08500000000000085,0.26500000000000057,0.0,0.5,0.0,1.8867924528301847
36.27,0.0,M, ,0.001999999999995339,0.049000000000006594,0.17499999999999716,0.08500000000000085,0.0,0.0,0.0,0.0
36.445,0.0,M, ,0.0009999999999976694,0.04399999999999693,0.15500000000000114,0.17499999999999716,-1.0,0.0,-6.451612903225759,0.0
36.6,-1.0,L, ,0.08399999999999608,0.0020000000000024443,0.08500000000000085,0.15500000000000114,0.0,-1.0,0.0,-6.451612903225759
36.685,-1.0,L, ,1.3149999999999977,0.0010000000000047748,0.08500000000000085,0.08500000000000085,0.0,0.0,0.0,0.0
36.77,-1.0,L, ,1.2299999999999969,0.08600000000000563,0.10499999999999687,0.08500000000000085,0.0,0.0,0.0,0.0
36.875,-1.0,L, ,1.125,0.1910000000000025,1.1450000000000031,0.10499999999999687,2.0,0.0,1.7467248908296895,0.0
38.02,1.0,H,.,0.06099999999999994,0.020000000000003126,0.2049999999999983,1.1450000000000031,0.0,2.0,0.0,1.7467248908296895
38.225,1.0,H, ,0.001999999999995339,0.14399999999999835,0.19500000000000028,0.2049999999999983,0.0,0.0,0.0,0.0
38.42,1.0,H, ,0.05799999999999983,0.0030000000000001137,0.07499999999999574,0.19500000000000028,-1.0,0.0,-13.33333333333409,0.0
38.495,0.0,H-L, ,0.6020000000000039,0.016999999999995907,0.7550000000000026,0.07499999999999574,1.0,-1.0,1.3245033112582736,-13.33333333333409
39.25,1.0,H, ,0.11899999999999977,0.0020000000000024443,0.14999999999999858,0.7550000000000026,0.0,1.0,0.0,1.3245033112582736
39.4,1.0,H, ,0.11599999999999966,0.030999999999998806,0.12000000000000455,0.14999999999999858,-1.0,0.0,-8.333333333333018,0.0
39.52,0.0,M, ,0.06400000000000006,0.0040000000000048885,0.10499999999999687,0.12000000000000455,0.0,-1.0,0.0,-8.333333333333018
39.625,0.0,M, ,0.10799999999999699,0.005000000000002558,0.14999999999999858,0.10499999999999687,0.0,0.0,0.0,0.0
39.775,0.0,M, ,0.1559999999999988,0.0030000000000001137,0.2150000000000034,0.14999999999999858,0.0,0.0,0.0,0.0
39.99,0.0,M, ,0.046999999999997044,0.059000000000004604,0.03999999999999915,0.2150000000000034,0.0,0.0,0.0,0.0
40.03,0.0,M, ,0.006999999999997897,0.03999999999999915,0.11999999999999744,0.03999999999999915,-0.5,0.0,-4.166666666666756,0.0
